Text,Language
 Nature (в переводе с англ.,Russian
— «Природа») — один из самых старых и авторитетных общенаучных журналов.,Russian
"Публикует исследования, посвящённые широкому кругу вопросов, в основном естественно-научной тематики.",Russian
"Первый номер журнала Nature был издан 4 ноября 1869 года английским физиком сэром Джозефом Норманом Локьером, который оставался редактором журнала до 1919 года.",Russian
Nature редактируется в Великобритании издательством Nature Publishing Group и издаётся в Лондоне.,Russian
"У журнала есть также офисы в Нью-Йорке, Сан-Франциско, Вашингтоне, Токио, Париже, Мюнхене и Бейзингстоке.",Russian
"Журнал ориентирован на научных работников, однако в начале каждого издания публикуется краткое популярное изложение важнейших публикаций.",Russian
В колонке редактора и разделе «Новости» (англ.,Russian
"News Articles) сообщается о событиях, интересных специалистам во всех областях.",Russian
"Остальная часть журнала состоит из оригинальных исследований, предполагающих наличие у читателя специальных знаний в соответствующей области.",Russian
"С 2005 года журнал публикует подкасты, где вкратце обсуждаются достижения науки и публикации за последнюю неделю — две.",Russian
"[3][4] Публикации в таких журналах, как Nature или Science, крайне престижны, так как статьи из них часто цитируются, а автор получает широкую известность и за пределами своей области науки.",Russian
"Так, импакт-фактор Nature в 2012 году был равен 38,597[5], то есть каждая статья за два года, прошедших после публикации, в среднем цитируется более 38 раз.",Russian
В 2009 году вошёл в Список 100 самых влиятельных журналов биологии и медицины за последние 100 лет под № 1 и был назван Журналом Столетия.,Russian
Однако критерии отбора статей в Nature (как и в Science) чрезвычайно жёстки.,Russian
"Большинство направляемых в Nature статей отсеиваются ещё до стадии рецензирования, поскольку результаты исследований, описанные в предлагаемой к публикации статье, должны представлять существенное продвижение в той или иной области науки.",Russian
"Так, именно в Nature были опубликованы статьи: В 2009 году 3 из 5 самых цитируемых в мире статей по биологии были напечатаны в журнале Nature[7].",Russian
"Нобелевский лауреат по медицине 2013 года Рэнди Шекман при вручении ему премии заявил, что ведущие научные журналы, среди которых и Nature, мешают научному процессу, так как желание увидеть свою публикацию в ведущих журналах побуждает учёных «срезать углы» и заниматься тем, что считается модным, а не тем, что важнее для науки.",Russian
"Кроме того, по мнению Шекмана, проблема в том, что редакторы этих журналов являются не учёными, а издателями и их интересуют прежде всего шумиха, сенсация и фурор.",Russian
"Он пообещал больше не отправлять свои статьи в журналы Nature, Cell и Science.",Russian
"[8] Академик РАН Е. Д. Свердлов, кроме случая с Шекманом, также обращает внимание на инцидент с японскими учёными из Центра биологии развития Института физико-химических исследований (RIKEN), опубликовавшими в 2014 году в журнале две статьи с изложением итогов опытов над зрелыми клетками мышей, подвергавшихся различному роду стрессовых воздействий, включая погружение в кислоту — метод, получивший известность под названием «получение плюрипотентности, вызванной стимулом (англ.",Russian
)русск.» (англ.,Russian
"stimulus-triggered acquisition of pluripotency, STAP), в ходе которых ими был обнаружен новейший способ преобразования клеток в эмбрионально-подобное (плюрипотентное) состояние.",Russian
"Данное исследование первоначально было высоко оценено мировым научным сообществом, поскольку являлось теоретическим и медицинским открытием и позволяло упростить получение стволовых клеток необходимых для пересадки.",Russian
"Однако в дальнейшем в ходе внутреннего расследования RIKEN было обнаружено, что Харуко Обоката, являвшаяся ключевым лицом в группе исследователей, совершила крупный подлог с фотографиями и рисунками.",Russian
"Следствием этого стал отзыв публикаций и самоубийство научного руководителя исследования Ёсики Сасаи, решившегося на это чтобы сохранить лицо.",Russian
"[9] В 2018 году группа исследователей из США, Швеции, Новой Зеландии, Сингапура, Германии, Нидерландов и Китая под руководством психолога Б. Нозека (англ.)",Russian
"повторила эксперименты по общественным наукам, результаты которых были опубликованы в журналах Science и Nature в 2010—2015 годах, и выяснила, что из 21 эксперимента только 13 (62 %) прошли проверку на воспроизводимость[10][11].",Russian
Википе́дия (англ.,Russian
"Wikipedia, произносится [ˌwɪkɨˈpiːdiə] или [ˌwɪkiˈpiːdiə]) — общедоступная многоязычная универсальная интернет-энциклопедия со свободным контентом[комм.",Russian
"2], реализованная на принципах вики.",Russian
Расположена по адресу wikipedia.org.,Russian
"Владелец сайта — американская некоммерческая организация «Фонд Викимедиа», имеющая 37 региональных представительств.",Russian
"Название энциклопедии образовано от английских слов wiki («вики»; в свою очередь заимствовано из гавайского языка, в котором оно имеет значение «быстро») и encyclopedia («энциклопедия»).",Russian
"Запущенная в январе 2001 года Джимми Уэйлсом и Ларри Сэнгером[7], Википедия сейчас является самым крупным и наиболее популярным[8] справочником в Интернете[9][10][11].",Russian
По объёму сведений и тематическому охвату Википедия считается самой полной энциклопедией из когда-либо создававшихся за всю историю человечества[12][13].,Russian
Одним из основных достоинств Википедии как универсальной энциклопедии является возможность представления информации на родном языке пользователя[14].,Russian
"На май 2018 года разделы Википедии есть на 301 языке, а также на 493 языках в инкубаторе.",Russian
Она содержит более 40 миллионов[1] статей.,Russian
Интернет-сайт Википедии является пятым по посещаемости сайтом в мире[15].,Russian
"Главной особенностью Википедии является то, что создавать и редактировать статьи в ней может любой пользователь Интернета[комм.",Russian
3].,Russian
Все вносимые такими добровольцами изменения незамедлительно становятся доступными для просмотра всем посетителям сайта.,Russian
"В декабре 2013 года в заявлении ЮНЕСКО по случаю награждения Джимми Уэйлса, основателя Википедии, Золотой медалью Нильса Бора про Википедию было сказано, что она является «символом эпохи взаимодействия, в которую мы живём, и это не просто инструмент, это воплощение мечты, столь же древней, как человеческий интеллект и собрания Александрийской библиотеки»[16][17].",Russian
Надёжность и точность Википедии вызывают вопросы[18].,Russian
Википедию критикуют за возможность добавления ложной или непроверенной информации[19] и вандализма на её страницах.,Russian
"Однако научные исследования свидетельствуют о том, что в Википедии следы актов вандализма обычно оперативно устраняются[20][21].",Russian
Раздел Википедии на русском языке на 28 июня 2020 года занимает 7-е место по количеству статей среди всех языковых разделов.,Russian
"В отличие от традиционных энциклопедий, таких, как Encyclopædia Britannica, ни одна статья в Википедии не проходит формального процесса экспертной оценки.",Russian
"Любая статья Википедии может редактироваться как с учётной записи участника, так даже и без регистрации на проекте (за исключением некоторых страниц, подверженных частому вандализму, которые доступны для изменения только определённым категориям участников или, в крайних случаях, только администраторам Википедии), и при этом все внесённые в статью изменения незамедлительно становятся доступными для просмотра любыми пользователями.",Russian
"Поэтому Википедия «не гарантирует истинность» своего содержимого[22], ведь в любом случае между моментом, когда в статью будет внесена какая-то недостоверная информация, и моментом, когда эта информация будет удалена из статьи другим участником Википедии (более компетентным в данной области знания), пройдёт определённое время.",Russian
"(Естественно, для того, чтобы обнаружить и удалить из статьи явный вандализм, нужно намного меньше времени, чем для того, чтобы освободить статью от недостоверной информации, когда подобная недостоверность не является особо очевидной.)",Russian
"Содержимое Википедии подпадает под действие законов (в частности, авторского права) штата Вирджиния в США, где находятся серверы Википедии, и нескольких редакционных политик и руководств, которые призваны укрепить идею о том, что Википедия является энциклопедией.",Russian
"Каждый вклад в Википедию должен быть по теме, являющейся энциклопедической.",Russian
"Тема считается энциклопедической, если она является «значимой»[23] на жаргоне Википедии, то есть если она получила значительное освещение во вторичных авторитетных источниках (например в центральных СМИ или серьёзных научных журналах), которые являются независимыми от предмета темы.",Russian
